composer,composer_dob,opera
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),María del Pilar (1902 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El morrongo (1902 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La torre del oro (1902 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La camarona (1903 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El general (1903 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La morenita (1903 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La visión de Fray Martín (1903 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Cuadros al fresco (1904 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El húsar de la guardia (1904 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los pícaros celos (1904 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La sequía (1904 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El amigo del alma (1905 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El arte de ser bonita (1905 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Cascabel (1905 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Las granadinas (1905 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los guapos (1905 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),¡Libertad! (1905 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El diablo verde (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La gatita blanca (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El golpe de estado (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El guante amarillo (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La marcha real (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La venta de la alegría (1906 Madrid) [+ Vives]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La antorcha del himeneo (1907 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Cinematógrafo nacional (1907 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El principe real (1907 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),A.B.C (1908 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La dos rivales (1908 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La eterna revista (1908 Madrid) [+ Chapí]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El grito de independencia (1908 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La leyenda mora (1908 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El trust de las mujeres (1908 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Las mil y pico de noches (1909 Madrid)
