name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
AnderssonBT,1964,,Sweden,Male,AnderssonBT,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('AnderssonBT', 1964, 'Sweden', 'Male', 'AnderssonBT')",#VALUE!,AnderssonBT,,,"AnderssonBT, "
AndreM,1964,,France,Male,AndreM,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('AndreM', 1964, 'France', 'Male', 'AndreM')",#VALUE!,AndreM,,,"AndreM, "
Andriessen Louis,1939,,Netherlands,Male,Andriessen Louis Hendrik,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Andriessen Louis', 1939, 'Netherlands', 'Male', 'Andriessen Louis Hendrik')",#VALUE!,Andriessen,Louis,Hendrik,"Andriessen, Louis Hendrik"
Androsch,1963,,Austria,Male,Androsch,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Androsch', 1963, 'Austria', 'Male', 'Androsch')",#VALUE!,Androsch,,,"Androsch, "
Angermann,1953,,Germany,Male,Angermann,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Angermann', 1953, 'Germany', 'Male', 'Angermann')",#VALUE!,Angermann,,,"Angermann, "
Antheil,1900,1959,United States of America,Male,Antheil George ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Antheil', 1900, 1959, 'United States of America', 'Male', 'Antheil George ')",#VALUE!,Antheil,George,,"Antheil, George"
Antunes,1942,,Brazil,Male,Antunes Jorge,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Antunes', 1942, 'Brazil', 'Male', 'Antunes Jorge')",#VALUE!,Antunes,Jorge,,"Antunes, Jorge"
Aperghis,1945,,Greece,Male,Aperghis Georges,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aperghis', 1945, 'Greece', 'Male', 'Aperghis Georges')",#VALUE!,Aperghis,Georges,,"Aperghis, Georges"
Aprikian Garbis,1926,,Armenia,Male,Aprikian Garbis,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Aprikian Garbis', 1926, 'Armenia', 'Male', 'Aprikian Garbis')",#VALUE!,Aprikian,Garbis,,"Aprikian, Garbis"
Argento Dominick,1927,,United States of America,Male,Argento Dominick Dominick,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Argento Dominick', 1927, 'United States of America', 'Male', 'Argento Dominick Dominick')",#VALUE!,Argento,Dominick,Dominick,"Argento, Dominick Dominick"
Arkas,1852,1909,Ukraine,Male,Arkas Nikolai,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arkas', 1852, 1909, 'Ukraine', 'Male', 'Arkas Nikolai')",#VALUE!,Arkas,Nikolai,,"Arkas, Nikolai"
Armstrong,1959,,United Kingdom,Male,Armstrong,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Armstrong', 1959, 'United Kingdom', 'Male', 'Armstrong')",#VALUE!,Armstrong,,,"Armstrong, "
Arne,1710,1778,United Kingdom,Male,Arne Michael,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arne', 1710, 1778, 'United Kingdom', 'Male', 'Arne Michael')",#VALUE!,Arne,Michael,,"Arne, Michael"
Arnecke,1973,,Germany,Male,Arnecke,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Arnecke', 1973, 'Germany', 'Male', 'Arnecke')",#VALUE!,Arnecke,,,"Arnecke, "
Arnold,1921,2006,United Kingdom,Male,Arnold György,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arnold', 1921, 2006, 'United Kingdom', 'Male', 'Arnold György')",#VALUE!,Arnold,György,,"Arnold, György"
Arriaga,1806,1826,Spain,Male,Arriaga,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arriaga', 1806, 1826, 'Spain', 'Male', 'Arriaga')",#VALUE!,Arriaga,,,"Arriaga, "
Arrieta,1823,1894,Spain,Male,Arrieta,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arrieta', 1823, 1894, 'Spain', 'Male', 'Arrieta')",#VALUE!,Arrieta,,,"Arrieta, "
Arutiunian,1920,2012,Armenia,Male,Arutiunian,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Arutiunian', 1920, 2012, 'Armenia', 'Male', 'Arutiunian')",#VALUE!,Arutiunian,,,"Arutiunian, "
Asaf'yev,1884,1949,Russian Federation,Male,Asaf'yev,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Asaf'yev', 1884, 1949, 'Russian Federation', 'Male', 'Asaf'yev')",#VALUE!,Asaf'yev,,,"Asaf'yev, "
Ashley,1930,2014,United States of America,Male,Ashley Robert ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Ashley', 1930, 2014, 'United States of America', 'Male', 'Ashley Robert ')",#VALUE!,Ashley,Robert,,"Ashley, Robert"
Aslund Viktor,,,Sweden,Male,Aslund Viktor,"insert into composers (name, place_of_birth, gender, other_names) values ('Aslund Viktor', 'Sweden', 'Male', 'Aslund Viktor')",#VALUE!,Aslund,Viktor,,"Aslund, Viktor"
Atanasov,1882,1931,Bulgaria,Male,Atanasov,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Atanasov', 1882, 1931, 'Bulgaria', 'Male', 'Atanasov')",#VALUE!,Atanasov,,,"Atanasov, "
Atterberg,1887,1974,Sweden,Male,Atterberg Kurt ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Atterberg', 1887, 1974, 'Sweden', 'Male', 'Atterberg Kurt ')",#VALUE!,Atterberg,Kurt,,"Atterberg, Kurt"
Auber,1782,1871,France,Male,Auber Daniel François Esprit,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Auber', 1782, 1871, 'France', 'Male', 'Auber Daniel François Esprit')",#VALUE!,Auber,Daniel François Esprit,,"Auber, Daniel François Esprit"
Audran,1840,1901,France,Male,Audran Edmond,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Audran', 1840, 1901, 'France', 'Male', 'Audran Edmond')",#VALUE!,Audran,Edmond,,"Audran, Edmond"
