name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Kalitzke,1959,,Germany,Male,Kalitzke,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kalitzke', 1959, 'Germany', 'Male', 'Kalitzke')",#VALUE!,Kalitzke,,,"Kalitzke, "
KalmanE,1882,1953,Hungary,Male,KalmanE,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('KalmanE', 1882, 1953, 'Hungary', 'Male', 'KalmanE')",#VALUE!,KalmanE,,,"KalmanE, "
Kamalova Zulya,1982,,Australia,Female,Kamalova Zulya,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kamalova Zulya', 1982, 'Australia', 'Female', 'Kamalova Zulya')",#VALUE!,Kamalova,Zulya,,"Kamalova, Zulya"
Kaminsky,1956,,United States of America,Female,Kaminsky,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kaminsky', 1956, 'United States of America', 'Female', 'Kaminsky')",#VALUE!,Kaminsky,,,"Kaminsky, "
Kampe,1976,,Germany,Male,Kampe,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kampe', 1976, 'Germany', 'Male', 'Kampe')",#VALUE!,Kampe,,,"Kampe, "
Kancheli,1935,,Georgia,Male,Kancheli Giya ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kancheli', 1935, 'Georgia', 'Male', 'Kancheli Giya ')",#VALUE!,Kancheli,Giya,,"Kancheli, Giya"
Karastoyanov,1893,1976,Bulgaria,Male,Karastoyanov,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Karastoyanov', 1893, 1976, 'Bulgaria', 'Male', 'Karastoyanov')",#VALUE!,Karastoyanov,,,"Karastoyanov, "
Karousos Panagiotis,,,Greece,Male,Karousos Panagiotis,"insert into composers (name, place_of_birth, gender, other_names) values ('Karousos Panagiotis', 'Greece', 'Male', 'Karousos Panagiotis')",#VALUE!,Panagiotis,Karousos,,"Panagiotis, Karousos"
Kaslik,1917,1989,Czech Republic,Male,Kaslik V√°clav,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kaslik', 1917, 1989, 'Czech Republic', 'Male', 'Kaslik V√°clav')",#VALUE!,Kaslik,V√°clav,,"Kaslik, V√°clav"
Kassel André,1963,,Germany,Male,Kassel André,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kassel André', 1963, 'Germany', 'Male', 'Kassel André')",#VALUE!,Kassel,André,,"Kassel, André"
Kassern,1904,1957,Poland,Male,Kassern Tadeusz ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kassern', 1904, 1957, 'Poland', 'Male', 'Kassern Tadeusz ')",#VALUE!,Kassern,Tadeusz,,"Kassern, Tadeusz"
Kats-Chernin,1957,,Uzbekistan,Female,Kats-Chernin,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kats-Chernin', 1957, 'Uzbekistan', 'Female', 'Kats-Chernin')",#VALUE!,Kats-Chernin,,,"Kats-Chernin, "
Keiser,1674,1739,Germany,Male,Keiser,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Keiser', 1674, 1739, 'Germany', 'Male', 'Keiser')",#VALUE!,Keiser,,,"Keiser, "
Kerek,1971,,Hungary,Male,Kerek,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kerek', 1971, 'Hungary', 'Male', 'Kerek')",#VALUE!,Kerek,,,"Kerek, "
Kerer,1980,,Italy,Female,Kerer,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kerer', 1980, 'Italy', 'Female', 'Kerer')",#VALUE!,Kerer,,,"Kerer, "
Kerger,1957,,Luxembourg,Male,Kerger,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kerger', 1957, 'Luxembourg', 'Male', 'Kerger')",#VALUE!,Kerger,,,"Kerger, "
Kerker,1857,1923,United States of America,Male,Kerker Gustave Adolph,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kerker', 1857, 1923, 'United States of America', 'Male', 'Kerker Gustave Adolph')",#VALUE!,Kerker,Gustave,Adolph,"Kerker, Gustave Adolph"
Kersting,1976,,Germany,Male,Kersting,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kersting', 1976, 'Germany', 'Male', 'Kersting')",#VALUE!,Kersting,,,"Kersting, "
Kirchner,1942,,Germany,Male,Kirchner Leon,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kirchner', 1942, 'Germany', 'Male', 'Kirchner Leon')",#VALUE!,Kirchner,Leon,,"Kirchner, Leon"
Klemmstein,1941,,Germany,Male,Klemmstein,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Klemmstein', 1941, 'Germany', 'Male', 'Klemmstein')",#VALUE!,Klemmstein,,,"Klemmstein, "
Klinichev Leonid,1938,,Russian Federation,Male,Klinichev Leonid,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Klinichev Leonid', 1938, 'Russian Federation', 'Male', 'Klinichev Leonid')",#VALUE!,Klinichev,Leonid,,"Klinichev, Leonid"
Klusak,1934,,Czech Republic,Male,Klusak,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Klusak', 1934, 'Czech Republic', 'Male', 'Klusak')",#VALUE!,Klusak,,,"Klusak, "
Knapik,1951,,Poland,Male,Knapik,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Knapik', 1951, 'Poland', 'Male', 'Knapik')",#VALUE!,Knapik,,,"Knapik, "
Knussen,1952,,United Kingdom,Male,Knussen ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Knussen', 1952, 'United Kingdom', 'Male', 'Knussen ')",#VALUE!,Knussen,,,"Knussen, "
Kobekin,1947,,Russian Federation,Male,Kobekin,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kobekin', 1947, 'Russian Federation', 'Male', 'Kobekin')",#VALUE!,Kobekin,,,"Kobekin, "
Kodaly,1882,1967,Hungary,Male,Kodaly,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kodaly', 1882, 1967, 'Hungary', 'Male', 'Kodaly')",#VALUE!,Kodaly,,,"Kodaly, "
Kogoj,1892,1956,Slovenia,Male,Kogoj Marij,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kogoj', 1892, 1956, 'Slovenia', 'Male', 'Kogoj Marij')",#VALUE!,Kogoj,Marij,,"Kogoj, Marij"
Kollo,1904,1988,Germany,Male,Kollo,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kollo', 1904, 1988, 'Germany', 'Male', 'Kollo')",#VALUE!,Kollo,,,"Kollo, "
Kolmanovsky,1923,1994,Russian Federation,Male,Kolmanovsky,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kolmanovsky', 1923, 1994, 'Russian Federation', 'Male', 'Kolmanovsky')",#VALUE!,Kolmanovsky,,,"Kolmanovsky, "
Kolodub Levko,1930,,Ukraine,Male,Kolodub Levko,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kolodub Levko', 1930, 'Ukraine', 'Male', 'Kolodub Levko')",#VALUE!,Kolodub,Levko,,"Kolodub, Levko"
Kolonovits,1952,,Austria,Male,Kolonovits,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kolonovits', 1952, 'Austria', 'Male', 'Kolonovits')",#VALUE!,Kolonovits,,,"Kolonovits, "
Komorous,1931,,Czech Republic,Male,Komorous Rudolf,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Komorous', 1931, 'Czech Republic', 'Male', 'Komorous Rudolf')",#VALUE!,Komorous,Rudolf,,"Komorous, Rudolf"
Kontz,1976,,Luxembourg,Female,Kontz,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kontz', 1976, 'Luxembourg', 'Female', 'Kontz')",#VALUE!,Kontz,,,"Kontz, "
Korngold,1897,1957,United States of America,Male,Korngold Erich Wolfgang,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Korngold', 1897, 1957, 'United States of America', 'Male', 'Korngold Erich Wolfgang')",#VALUE!,Korngold,Erich,Wolfgang,"Korngold, Erich Wolfgang"
Korte,1969,,Germany,Male,Korte,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Korte', 1969, 'Germany', 'Male', 'Korte')",#VALUE!,Korte,,,"Korte, "
Kortes,1935,,Belarus,Male,Kortes,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kortes', 1935, 'Belarus', 'Male', 'Kortes')",#VALUE!,Kortes,,,"Kortes, "
Korvits,1969,,Estonia,Male,Korvits,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Korvits', 1969, 'Estonia', 'Male', 'Korvits')",#VALUE!,Korvits,,,"Korvits, "
Kosecka,1989,,Poland,Female,Kosecka,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kosecka', 1989, 'Poland', 'Female', 'Kosecka')",#VALUE!,Kosecka,,,"Kosecka, "
Kosev,1935,,Bulgaria,Male,Kosev,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kosev', 1935, 'Bulgaria', 'Male', 'Kosev')",#VALUE!,Kosev,,,"Kosev, "
Koskinen,1972,,Finland,Male,Koskinen,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Koskinen', 1972, 'Finland', 'Male', 'Koskinen')",#VALUE!,Koskinen,,,"Koskinen, "
Kostov,1941,,Bulgaria,Male,Kostov,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kostov', 1941, 'Bulgaria', 'Male', 'Kostov')",#VALUE!,Kostov,,,"Kostov, "
Kotik,1942,,Czech Republic,Male,Kotik,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kotik', 1942, 'Czech Republic', 'Male', 'Kotik')",#VALUE!,Kotik,,,"Kotik, "
Koumendakis,1959,,Greece,Male,Koumendakis,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Koumendakis', 1959, 'Greece', 'Male', 'Koumendakis')",#VALUE!,Koumendakis,,,"Koumendakis, "
Kourliandski,1976,,Russian Federation,Male,Kourliandski,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kourliandski', 1976, 'Russian Federation', 'Male', 'Kourliandski')",#VALUE!,Kourliandski,,,"Kourliandski, "
Kouroupos George,1942,,Greece,Male,Kouroupos George,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kouroupos George', 1942, 'Greece', 'Male', 'Kouroupos George')",#VALUE!,Kouroupos,George,,"Kouroupos, George"
Krasa,1899,1944,Germany,Male,Krasa,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Krasa', 1899, 1944, 'Germany', 'Male', 'Krasa')",#VALUE!,Krasa,,,"Krasa, "
Krasev,1897,1954,Russian Federation,Male,Krasev,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Krasev', 1897, 1954, 'Russian Federation', 'Male', 'Krasev')",#VALUE!,Krasev,,,"Krasev, "
Kraus,1756,1792,Germany,Male,Kraus Joseph Martin,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kraus', 1756, 1792, 'Germany', 'Male', 'Kraus Joseph Martin')",#VALUE!,Kraus,Joseph,Martin,"Kraus, Joseph Martin"
Kraus-Hubner,1941,,Germany,Male,Kraus-Hubner,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kraus-Hubner', 1941, 'Germany', 'Male', 'Kraus-Hubner')",#VALUE!,Kraus-Hubner,,,"Kraus-Hubner, "
Krauze,1938,,Poland,Male,Krauze,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Krauze', 1938, 'Poland', 'Male', 'Krauze')",#VALUE!,Krauze,,,"Krauze, "
Kravchenko,1929,1979,Russian Federation,Male,Kravchenko,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kravchenko', 1929, 1979, 'Russian Federation', 'Male', 'Kravchenko')",#VALUE!,Kravchenko,,,"Kravchenko, "
Krcek,1939,,Czech Republic,Male,Krcek,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Krcek', 1939, 'Czech Republic', 'Male', 'Krcek')",#VALUE!,Krcek,,,"Krcek, "
Krenek,1900,1991,Austria,Male,Krenek Ernst,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Krenek', 1900, 1991, 'Austria', 'Male', 'Krenek Ernst')",#VALUE!,Krenek,Ernst,,"Krenek, Ernst"
Kroll,1945,,United States of America,Male,Kroll,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kroll', 1945, 'United States of America', 'Male', 'Kroll')",#VALUE!,Kroll,,,"Kroll, "
Kucera,1977,,Czech Republic,Male,Kucera,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kucera', 1977, 'Czech Republic', 'Male', 'Kucera')",#VALUE!,Kucera,,,"Kucera, "
Kuhlau,1786,1832,Denmark,Male,Kuhlau ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kuhlau', 1786, 1832, 'Denmark', 'Male', 'Kuhlau ')",#VALUE!,Kuhlau,,,"Kuhlau, "
Kuhr,1952,,Austria,Male,Kuhr,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kuhr', 1952, 'Austria', 'Male', 'Kuhr')",#VALUE!,Kuhr,,,"Kuhr, "
Kulenty,1961,,Poland,Female,Kulenty,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kulenty', 1961, 'Poland', 'Female', 'Kulenty')",#VALUE!,Kulenty,,,"Kulenty, "
Kulygin,1943,,Russian Federation,Male,Kulygin,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kulygin', 1943, 'Russian Federation', 'Male', 'Kulygin')",#VALUE!,Kulygin,,,"Kulygin, "
Kunneke,1885,1953,Germany,Male,Kunneke,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kunneke', 1885, 1953, 'Germany', 'Male', 'Kunneke')",#VALUE!,Kunneke,,,"Kunneke, "
Kupczak,1979,,Poland,Male,Kupczak,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kupczak', 1979, 'Poland', 'Male', 'Kupczak')",#VALUE!,Kupczak,,,"Kupczak, "
Kuprevicius,1944,,Lithuania,Male,Kuprevicius,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kuprevicius', 1944, 'Lithuania', 'Male', 'Kuprevicius')",#VALUE!,Kuprevicius,,,"Kuprevicius, "
Kurpinski,1785,1857,Poland,Male,Kurpinski Karol ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Kurpinski', 1785, 1857, 'Poland', 'Male', 'Kurpinski Karol ')",#VALUE!,Kurpinski,Karol,,"Kurpinski, Karol"
Kurstner Thomas,1972,,Germany,Male,Kurstner Thomas,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kurstner Thomas', 1972, 'Germany', 'Male', 'Kurstner Thomas')",#VALUE!,Kurstner,Thomas,,"Kurstner, Thomas"
Kutavicius,1932,,Lithuania,Male,Kutavicius Bronislovas,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kutavicius', 1932, 'Lithuania', 'Male', 'Kutavicius Bronislovas')",#VALUE!,Kutavicius,Bronislovas,,"Kutavicius, Bronislovas"
Kverndokk,1967,,Norway,Male,Kverndokk,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kverndokk', 1967, 'Norway', 'Male', 'Kverndokk')",#VALUE!,Kverndokk,,,"Kverndokk, "
Kyllonen,1955,,Finland,Male,Kyllonen,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kyllonen', 1955, 'Finland', 'Male', 'Kyllonen')",#VALUE!,Kyllonen,,,"Kyllonen, "
Kypourgos,1952,,Greece,Male,Kypourgos,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Kypourgos', 1952, 'Greece', 'Male', 'Kypourgos')",#VALUE!,Kypourgos,,,"Kypourgos, "
Lachenmann,1935,,Germany,Male,Lachenmann,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lachenmann', 1935, 'Germany', 'Male', 'Lachenmann')",#VALUE!,Lachenmann,,,"Lachenmann, "
Lackerschmid,1956,,Germany,Male,Lackerschmid,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lackerschmid', 1956, 'Germany', 'Male', 'Lackerschmid')",#VALUE!,Lackerschmid,,,"Lackerschmid, "
Laitman Lori,1961,,United States of America,Female,Laitman Lori,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Laitman Lori', 1961, 'United States of America', 'Female', 'Laitman Lori')",#VALUE!,Laitman,Lori,,"Laitman, Lori"
Laks,1901,1983,Poland,Male,Laks Szymon ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Laks', 1901, 1983, 'Poland', 'Male', 'Laks Szymon ')",#VALUE!,Laks,Szymon,,"Laks, Szymon"
Lalo,1823,1892,France,Male,Lalo √âdouard,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lalo', 1823, 1892, 'France', 'Male', 'Lalo √âdouard')",#VALUE!,Lalo,√âdouard,,"Lalo, √âdouard"
Lamarque Pons,1917,1982,Uruguay,Male,Lamarque Pons,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lamarque Pons', 1917, 1982, 'Uruguay', 'Male', 'Lamarque Pons')",#VALUE!,Lamarque,Pons,,"Lamarque, Pons"
Lampe,1702,1751,Germany,Male,Lampe Johann Friedrich,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lampe', 1702, 1751, 'Germany', 'Male', 'Lampe Johann Friedrich')",#VALUE!,Lampe,Johann,Friedrich,"Lampe, Johann Friedrich"
LangB,1957,,Austria,Male,LangB,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LangB', 1957, 'Austria', 'Male', 'LangB')",#VALUE!,LangB,,,"LangB, "
LangD,1957,,United States of America,Male,LangD,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LangD', 1957, 'United States of America', 'Male', 'LangD')",#VALUE!,LangD,,,"LangD, "
Lange,1968,,Germany,Male,Lange Daniel de,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lange', 1968, 'Germany', 'Male', 'Lange Daniel de')",#VALUE!,Lange,Daniel,de,"Lange, Daniel de"
Langemann,1983,,Germany,Male,Langemann,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Langemann', 1983, 'Germany', 'Male', 'Langemann')",#VALUE!,Langemann,,,"Langemann, "
Langer,1974,,Russian Federation,Female,Langer,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Langer', 1974, 'Russian Federation', 'Female', 'Langer')",#VALUE!,Langer,,,"Langer, "
LarsenL,1950,,United States of America,Female,LarsenL,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LarsenL', 1950, 'United States of America', 'Female', 'LarsenL')",#VALUE!,LarsenL,,,"LarsenL, "
Larsson Gothe,1965,,Sweden,Male,Larsson Gothe Lars-Erik ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Larsson Gothe', 1965, 'Sweden', 'Male', 'Larsson Gothe Lars-Erik ')",#VALUE!,Larsson,Gothe,Lars-Erik,"Larsson, Gothe Lars-Erik"
Lauba,1952,,France,Male,Lauba,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lauba', 1952, 'France', 'Male', 'Lauba')",#VALUE!,Lauba,,,"Lauba, "
Lavandier,1987,,France,Male,Lavandier,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lavandier', 1987, 'France', 'Male', 'Lavandier')",#VALUE!,Lavandier,,,"Lavandier, "
Lazar,1965,,Slovenia,Male,Lazar Filip,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lazar', 1965, 'Slovenia', 'Male', 'Lazar Filip')",#VALUE!,Lazar,Filip,,"Lazar, Filip"
Lebic,1934,,Slovenia,Male,Lebic,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lebic', 1934, 'Slovenia', 'Male', 'Lebic')",#VALUE!,Lebic,,,"Lebic, "
Leclair,1697,1764,France,Male,Leclair Jean-Marie,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Leclair', 1697, 1764, 'France', 'Male', 'Leclair Jean-Marie')",#VALUE!,Leclair,Jean-Marie,,"Leclair, Jean-Marie"
Lecocq,1832,1918,France,Male,Lecocq,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lecocq', 1832, 1918, 'France', 'Male', 'Lecocq')",#VALUE!,Lecocq,,,"Lecocq, "
LeeJ,1982,,United Kingdom,Female,LeeJ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LeeJ', 1982, 'United Kingdom', 'Female', 'LeeJ')",#VALUE!,LeeJ,,,"LeeJ, "
Lee Yong-dae,1988,,Korea (South),Male,Lee Yong-dae Dai-Keong,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lee Yong-dae', 1988, 'Korea (South)', 'Male', 'Lee Yong-dae Dai-Keong')",#VALUE!,Lee Yong-dae,Dai-Keong,,"Lee Yong-dae, Dai-Keong"
LeFanu,1947,,United Kingdom,Female,LeFanu Nicola ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LeFanu', 1947, 'United Kingdom', 'Female', 'LeFanu Nicola ')",#VALUE!,LeFanu,Nicola,,"LeFanu, Nicola"
Legrand,1932,,France,Male,Legrand,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Legrand', 1932, 'France', 'Male', 'Legrand')",#VALUE!,Legrand,,,"Legrand, "
Lehar,1870,1948,Hungary,Male,Lehar,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lehar', 1870, 1948, 'Hungary', 'Male', 'Lehar')",#VALUE!,Lehar,,,"Lehar, "
Leitner,1943,,Austria,Male,Leitner,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Leitner', 1943, 'Austria', 'Male', 'Leitner')",#VALUE!,Leitner,,,"Leitner, "
Lemoyne,1751,1796,France,Male,Lemoyne Gabriel,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lemoyne', 1751, 1796, 'France', 'Male', 'Lemoyne Gabriel')",#VALUE!,Lemoyne,Gabriel,,"Lemoyne, Gabriel"
Lendvay Kamilló,1928,2016,Hungary,Male,Lendvay Kamilló Erwin,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lendvay Kamilló', 1928, 2016, 'Hungary', 'Male', 'Lendvay Kamilló Erwin')",#VALUE!,Lendvay,Kamilló,Erwin,"Lendvay, Kamilló Erwin"
Lens,1957,,Belgium,Male,Lens,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lens', 1957, 'Belgium', 'Male', 'Lens')",#VALUE!,Lens,,,"Lens, "
Leo,1694,1744,Italy,Male,Leo Leonardo ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Leo', 1694, 1744, 'Italy', 'Male', 'Leo Leonardo ')",#VALUE!,Leo,Leonardo,,"Leo, Leonardo"
Leoncavallo,1857,1919,Italy,Male,Leoncavallo Ruggero,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Leoncavallo', 1857, 1919, 'Italy', 'Male', 'Leoncavallo Ruggero')",#VALUE!,Leoncavallo,Ruggero,,"Leoncavallo, Ruggero"
Leuschner,1978,,Germany,Male,Leuschner,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Leuschner', 1978, 'Germany', 'Male', 'Leuschner')",#VALUE!,Leuschner,,,"Leuschner, "
Levinas,1949,,France,Male,Levinas,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Levinas', 1949, 'France', 'Male', 'Levinas')",#VALUE!,Levinas,,,"Levinas, "
Levy,1932,,United States of America,Male,Levy Marvin David,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Levy', 1932, 'United States of America', 'Male', 'Levy Marvin David')",#VALUE!,Levy,Marvin David,,"Levy, Marvin David"
Lewandowski,1950,,Germany,Male,Lewandowski,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lewandowski', 1950, 'Germany', 'Male', 'Lewandowski')",#VALUE!,Lewandowski,,,"Lewandowski, "
Lhotka-Kalinski,1913,1987,Croatia,Male,Lhotka-Kalinski Ivo,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lhotka-Kalinski', 1913, 1987, 'Croatia', 'Male', 'Lhotka-Kalinski Ivo')",#VALUE!,Lhotka-Kalinski,Ivo,,"Lhotka-Kalinski, Ivo"
Liakakis Periklis,1970,,Greece,Male,Liakakis Periklis,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Liakakis Periklis', 1970, 'Greece', 'Male', 'Liakakis Periklis')",#VALUE!,Liakakis,Periklis,,"Liakakis, Periklis"
Lidholm Ingvar,1921,2017,Sweden,Male,Lidholm Ingvar Ingvar ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lidholm Ingvar', 1921, 2017, 'Sweden', 'Male', 'Lidholm Ingvar Ingvar ')",#VALUE!,Lidholm,Ingvar,Ingvar,"Lidholm, Ingvar Ingvar"
LiebermannL,1961,,United States of America,Male,LiebermannL,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LiebermannL', 1961, 'United States of America', 'Male', 'LiebermannL')",#VALUE!,LiebermannL,,,"LiebermannL, "
Liepins Zigmārs,1952,,Latvia,Male,Liepins Zigmārs,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Liepins Zigmārs', 1952, 'Latvia', 'Male', 'Liepins Zigmārs')",#VALUE!,Liepins,Zigmārs,,"Liepins, Zigmārs"
Ligeti,1923,2006,Hungary,Male,Ligeti Gy√∂rgy ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Ligeti', 1923, 2006, 'Hungary', 'Male', 'Ligeti Gy√∂rgy ')",#VALUE!,Ligeti,Gy√∂rgy,,"Ligeti, Gy√∂rgy"
LimJ,1959,,Korea (South),Female,LimJ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LimJ', 1959, 'Korea (South)', 'Female', 'LimJ')",#VALUE!,LimJ,,,"LimJ, "
LimL,1966,,Australia,Female,LimL,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('LimL', 1966, 'Australia', 'Female', 'LimL')",#VALUE!,LimL,,,"LimL, "
Lincke,1866,1946,Germany,Male,Lincke ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Lincke', 1866, 1946, 'Germany', 'Male', 'Lincke ')",#VALUE!,Lincke,,,"Lincke, "
Lindahl,1953,,Sweden,Male,Lindahl,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Lindahl', 1953, 'Sweden', 'Male', 'Lindahl')",#VALUE!,Lindahl,,,"Lindahl, "
