,composer,year_birth,year_death,place_birth,place_death,clean_name,c_birth
13101,"Kienzl, Wilhelm",1857.0,1941.0,waizenkirchen,wien,"Kienzl, Wilhelm",Austria
13112,"Kiesewetter, Tomasz",1911.0,1911.0,sosnowka,sosnowka,"Kiesewetter, Tomasz",Poland
13113,"Kiladze, Grigori",1902.0,1962.0,batumi,tbilisi,"Kiladze, Grigori",Georgia
13115,"Kilenyi, Edward",,,,,"Kilenyi, Edward",Thailand
13116,"Killmayr, Wilhelm",1927.0,1927.0,münchen,münchen,"Killmayr, Wilhelm",Germany
13121,"Kilpatrick, Jack (Frederick)",1915.0,1967.0,stillwater,muskogee,"Kilpatrick, Jack",USA
13124,"Kim, Earl [Eul]",1920.0,1998.0,dinuba,cambridge,"Kim, Earl",USA
13125,"Kimmerling, Robert [Johannes Evangelist]",1737.0,1799.0,wien,oberweiden,"Kimmerling, Robert",Austria
13126,"King, Matthew Peter",1773.0,1823.0,london,london,"King, Matthew Peter",UK
13140,Kinkel [,,,née,née,Kinkel,
13141,"Király, Ernö",1919.0,1919.0,subotica,subotica,"Király, Ernö",Serbia
13142,"Kirchner, Leon",1919.0,2009.0,brooklyn,new,"Kirchner, Leon",USA
13143,"Kistler, Cyrill",1848.0,1907.0,gross,bad,"Kistler, Cyrill",USA
13153,"Kittl, Jan Bedrich [Johann Friedrich]",1806.0,1868.0,orlik,leszno,"Kittl, Jan Bedrich",
13157,"Kiurkchiysky, Krasimir",1936.0,1936.0,troyan,troyan,"Kiurkchiysky, Krasimir",Bulgaria
13158,"Klaus, Kenneth Blanchard",1923.0,1980.0,earlville,baton,"Klaus, Kenneth Blanchard",USA
13160,"Klauwell, Otto (Adolf)",1851.0,1917.0,langensalza,köln,"Klauwell, Otto",Germany
13162,"Klebanov, Dmitri",1907.0,1989.0,kharkov,kharkov,"Klebanov, Dmitri",Ukraine
13167,"Klebe, Giselher (Wolfgang)",1925.0,1925.0,mannheim,mannheim,"Klebe, Giselher",Germany
13180,"Kleen, Johan Christoph",,,,,"Kleen, Johan Christoph",Thailand
13184,"Kleffel, Arno",1840.0,1913.0,pössneck,nikolassee,"Kleffel, Arno",Germany
13185,"Klein, Bernhard (Joseph)",1793.0,1832.0,köln,berlin,"Klein, Bernhard",Germany
13187,"Klein, Bruno Oscar",1858.0,1911.0,osnabrück,new,"Klein, Bruno Oscar",Germany
13188,"Klein, Fritz Heinrich",1892.0,1892.0,budapest,budapest,"Klein, Fritz Heinrich",Hungary
13189,"Klein, Josef",1802.0,1862.0,köln,köln,"Klein, Josef",Germany
13190,"Klein, Lothar (Karl)",1932.0,2004.0,hannover,toronto,"Klein, Lothar",Germany
13191,"Kleinheinz, Franz Xaver",1765.0,1832.0,mindelheim,budapest,"Kleinheinz, Franz Xaver",Germany
13193,"Kleinmichel, Richard",1846.0,1901.0,poznan,charlottenburg,"Kleinmichel, Richard",Poland
13195,"Kleinsinger, George",1914.0,1982.0,san,new,"Kleinsinger, George",USA
13196,"Klemperer, Otto",1885.0,1973.0,wroclaw,zürich,"Klemperer, Otto",Poland
13198,"Klenau, Paul (August) von",1883.0,1946.0,københavn,københavn,"Klenau, Paul von",Denmark
13207,"Klicka, Josef",1855.0,1937.0,klatovy,klatovy,"Klicka, Josef",Czechia
13208,"Klitsch, Karl Emanuel",1812.0,1889.0,schönheide,zwickau,"Klitsch, Karl Emanuel",Germany
13209,"Klose, Friedrich (Karl Wilhelm)",1862.0,1942.0,karlsruhe,ruvigliana,"Klose, Friedrich",Germany
13210,"Klughardt, August (Friedrich Martin)",1847.0,1902.0,cöthen,rosslau,"Klughardt, August",Germany
13214,"Klusák, Jan",1934.0,1934.0,praha,praha,"Klusák, Jan",Czechia
13216,"Klussmann, Ernst Gernot",1901.0,1975.0,hamburg,hamburg,"Klussmann, Ernst Gernot",Germany
13218,"Knaifel, Alexander",1943.0,1943.0,tashkent,tashkent,"Knaifel, Alexander",Uzbekistan
13219,"Knecht, Justin Heinrich",1752.0,1817.0,biberach,biberach,"Knecht, Justin Heinrich",Germany
13229,"Kniese, Julius",1848.0,1905.0,roda,dresden,"Kniese, Julius",USA
13230,"Knipper, Lev (Konstantinovich)",1898.0,1974.0,tbilisi,moskva,"Knipper, Lev",Georgia
13237,"Knorr, Iwan (Otto Armand)",1853.0,1916.0,mewe,frankfurt,"Knorr, Iwan",USA
13240,"Knussen, (Stuart) Oliver",1952.0,1952.0,glasgow,glasgow,"Knussen, Oliver",UK
13243,"Kobelius, Johann Augustin",1674.0,1731.0,waehlitz,weissenfels,"Kobelius, Johann Augustin",Germany
13266,"Koch, (Sigurd Christian) Erland von",1910.0,1910.0,stockholm,stockholm,"Koch, Erland von",Sweden
13269,"Koch, Friedrich E(rnst)",1862.0,1927.0,berlin,berlin,"Koch, Friedrich E",Germany
13273,"Kochan, Günter",1930.0,1930.0,luckau,luckau,"Kochan, Günter",Germany
13275,"Kocher, Conrad",1786.0,1872.0,ditzingen,stuttgart,"Kocher, Conrad",Germany
13276,"Koczalski, Raoul [Raul] (Armand Georg)",1884.0,1948.0,warszawa,poznan,"Koczalski, Raoul",Poland
13278,"Kodalli, Nevit",1924.0,1924.0,mersin,mersin,"Kodalli, Nevit",Turkey
13280,"Kodály, Zoltán",1882.0,1967.0,kecskemét,budapest,"Kodály, Zoltán",Hungary
13283,"Koeberg, Frits Ehrhardt Adriaan",1876.0,1961.0,den,den,"Koeberg, Frits Ehrhardt Adriaan",USA
13284,"Koerppen, Alfred",1926.0,1926.0,wiesbaden,wiesbaden,"Koerppen, Alfred",Germany
13286,"Koessler [Kössler], Hans",1853.0,1926.0,waldeck,ansbach,"Koessler, Hans",USA
13287,"Koetsier, Jan",1911.0,1911.0,amsterdam,amsterdam,"Koetsier, Jan",Netherlands
13288,"Kogoj, Marij",1895.0,1956.0,trieste,ljubljana,"Kogoj, Marij",Italy
13289,"Kohaut [Kohault, Kohout], (Wenzel) Josef (Thomas)",1738.0,1793.0,zatec,paris,"Kohaut, Josef",Czechia
13293,"Köhler, Ernesto",1849.0,1907.0,modena,st,"Köhler, Ernesto",Italy
13294,"Köhler, Louis",1820.0,1886.0,brauunschweig,königsberg,"Köhler, Louis",Germany
13295,"Köhler, Siegfried",1927.0,1927.0,meissen,meissen,"Köhler, Siegfried",Germany
13296,"Kohoutek, Ctirad",1929.0,1929.0,zábreh,zábreh,"Kohoutek, Ctirad",Czechia
13297,"Kohs, Ellis Bonoff",1916.0,2000.0,chicago,los,"Kohs, Ellis Bonoff",USA
13298,"Kókai, Rezso",1906.0,1906.0,budapest,budapest,"Kókai, Rezso",Hungary
13300,"Kokkonen, Joonas",1921.0,1996.0,iisalmi,järvenpää,"Kokkonen, Joonas",Finland
13301,"Kolberg, (Henryk) Oskar",1814.0,1890.0,przysucha,kraków,"Kolberg, Oskar",Poland
13304,"Kollo [Kollodziewyski], (Elimar) Walter",1878.0,1940.0,neidenburg,berlin,"Kollo, Walter",Poland
13306,"Komorous, Rudolf",1931.0,1931.0,praha,praha,"Komorous, Rudolf",Czechia
13307,"Komzák, Karel",1850.0,1905.0,praha,baden,"Komzák, Karel",Czechia
13308,"Kondorossy, Leslie",1915.0,1915.0,bratislava,bratislava,"Kondorossy, Leslie",Slovakia
13322,"Kondracki, Michal",1902.0,1902.0,poltava,poltava,"Kondracki, Michal",36000
13323,"König, Johann Mattheus [Matthias]",,,,,"König, Johann Mattheus",Thailand
13325,"Koning, David",1820.0,1876.0,rotterdam,amsterdam,"Koning, David",Netherlands
13326,"Konink [Koninck, Kooninck, Coning, Cooninck, Koning], Servaas de",,1717.0,,amsterdam,"Konink, Servaas de",Thailand
13328,"Konjovic, Petar",1882.0,1970.0,sombor,beograd,"Konjovic, Petar",Serbia
13337,"Kono, Kristo [Kristaq]",1907.0,1991.0,korçë,,"Kono, Kristo",Albania
13339,"Kont, Paul",1920.0,1920.0,wien,wien,"Kont, Paul",Austria
13350,"Koppel, Herman D(avid)",1908.0,1998.0,københavn,københavn,"Koppel, Herman D",Denmark
13351,"Koppel, Thomas Herman",1944.0,1944.0,örebro,örebro,"Koppel, Thomas Herman",Sweden
13353,"Kopytman, Mark",1929.0,1929.0,kamenetsk,kamenetsk,"Kopytman, Mark",USA
13355,"Korchmaryov [Korchmarev], Klimenty (Arkad'yevich)",1899.0,1958.0,verkhnednprovsk,moskva,"Korchmaryov, Klimenty",
13359,"Koreshchenko, Arseni (Nikolaievich)",1870.0,1921.0,moskva,kharkov,"Koreshchenko, Arseni",Russia
13362,"Körling, (John) Felix (August)",1864.0,1937.0,kristdala,halmstad,"Körling, Felix",Sweden
13363,"Korn, Clara Anna",1866.0,1940.0,berlin,new,"Korn, Clara Anna",Germany
13364,"Korn, Peter Jona",1922.0,1998.0,berlin,münchen,"Korn, Peter Jona",Germany
13365,"Korndorf, Nikolai (Sergeevich)",1947.0,2001.0,moskva,burnaby,"Korndorf, Nikolai",Russia
13368,"Korngold, Erich Wolfgang",1897.0,1957.0,brno,los,"Korngold, Erich Wolfgang",Czechia
13375,"Kortekangas, Olli",1955.0,1955.0,turku,turku,"Kortekangas, Olli",Finland
13377,"Kósa, György",1897.0,1897.0,budapest,budapest,"Kósa, György",Hungary
13385,"Koschat, Thomas",1845.0,1914.0,viktring,wien,"Koschat, Thomas",Austria
13387,"Kosma, Joseph",1905.0,1905.0,budapest,budapest,"Kosma, Joseph",Hungary
13391,"Kospoth, Otto Carl Erdmann,",,,freiherr,freiherr,"Kospoth, Otto Carl Erdmann,",
13401,"Kostic, Dusan",1925.0,1925.0,zagreb,zagreb,"Kostic, Dusan",Croatia
13402,"Kounadis, Arghyris",1924.0,1924.0,constantinople,constantinople,"Kounadis, Arghyris",Turkey
13411,"Koutzen, Boris",1901.0,1966.0,uman,mount,"Koutzen, Boris",20300
13412,"Kovách, Andor",1915.0,1915.0,szaszvaros,szaszvaros,"Kovách, Andor",Romania
13417,"Koval, Marian (Viktorovich)",1907.0,1971.0,pristan,moskva,"Koval, Marian",Slovenia
13424,"Kovalev, Pavel",1890.0,1951.0,nikolaev,paris,"Kovalev, Pavel",54000
13425,"Kovaricek, Frantisek",1924.0,1924.0,liteniny,liteniny,"Kovaricek, Frantisek",USA
13426,"Kovarovic, Karel",1862.0,1920.0,praha,praha,"Kovarovic, Karel",Czechia
13433,"Kowalski, Henri",1841.0,1916.0,paris,bordeaux,"Kowalski, Henri",France
13436,"Kowalski [Dominik], Július [Alexander]",1912.0,2003.0,ostrava,bratislava,"Kowalski, Július",Czechia
13438,"Kox, Hans",1930.0,1930.0,arnhem,arnhem,"Kox, Hans",Netherlands
13441,"Kozeluch [Koscheluch, Kozeluh], Johann [Jan Evangelista] Antonin [Tomás]",1738.0,1814.0,velvary,praha,"Kozeluch, Johann Antonin",Czechia
13443,"Kozeluch [Kotzeluch, Kozeluh], Leopold [Jan Antonin, Ioannes Antonius]",1747.0,1818.0,velvary,wien,"Kozeluch, Leopold",Czechia
13445,"Kozina, Marjan",1907.0,1966.0,novo,novo,"Kozina, Marjan",USA
13446,"Kozlovsky, Alexey",1905.0,1977.0,kiev,tashkent,"Kozlovsky, Alexey",02000
13449,"Krása, Hans",1899.0,1944.0,praha,oswiecim,"Krása, Hans",Czechia
13452,"Kratzer, Kazimierz Julian",1844.0,1890.0,kraków,warszawa,"Kratzer, Kazimierz Julian",Poland
13453,"Kraus, Joseph Martin",1756.0,1792.0,miltenberg,stockholm,"Kraus, Joseph Martin",Germany
13459,"Krause, Christian Gottfried",1719.0,1770.0,winsko,berlin,"Krause, Christian Gottfried",Poland
13460,"Krebs [Miedcke], Carl August",1804.0,1880.0,nürnberg,dresden,"Krebs, Carl August",Germany
13463,"Krein, Alexander (Abramovich)",1883.0,1951.0,nizhni,staraya,"Krein, Alexander",Russia
13465,"Kreisler, Fritz [Friedrich]",1875.0,1962.0,wien,new,"Kreisler, Fritz",Austria
13467,"Krejcí, Isa (Frantisek)",1904.0,1968.0,praha,praha,"Krejcí, Isa",Czechia
13470,"Krejcí, Miroslav",1891.0,1964.0,rychnov,praha,"Krejcí, Miroslav",Czechia
13472,"Krempelsetzer, Georg",1827.0,1871.0,vilsbiburg,vilsbiburg,"Krempelsetzer, Georg",Germany
13480,"Kremser, Eduard",1838.0,1914.0,wien,wien,"Kremser, Eduard",Austria
13483,"Krenek, Ernst",1900.0,1991.0,wien,palm,"Krenek, Ernst",Austria
13503,"Kretschmer, Edmund",1830.0,1908.0,ostritz,dresden,"Kretschmer, Edmund",Germany
13508,"Kreube, Charles Frédéric",1777.0,1846.0,luneville,c,"Kreube, Charles Frédéric",France
13509,"Kreuder, Peter Paul",1905.0,1981.0,aachen,salzburg,"Kreuder, Peter Paul",Germany
13512,"Kreutz, Arthur",1906.0,1906.0,la,la,"Kreutz, Arthur",USA
13515,"Kreutzer [Kreuzer], Conradin [Conrad]",1780.0,1849.0,messkirch,riga,"Kreutzer, Conradin",Germany
13564,"Kreutzer, Léon Charles François",1817.0,1868.0,paris,vichy,"Kreutzer, Léon Charles François",France
13565,"Kreutzer, Rodolphe",1766.0,1831.0,versailles,génève,"Kreutzer, Rodolphe",France
13599,"Kricka, Jaroslav",1882.0,1969.0,kelc,praha,"Kricka, Jaroslav",Czechia
13618,"Krieger [Kruger, Kriegher], Johann [Giovanni]",1651.0,1735.0,nürnberg,zittau,"Krieger, Johann",Germany
