,composer,year_birth,year_death,place_birth,place_death,clean_name
13656,"Kruyf, Ton de",1937.0,1937.0,leerdam,leerdam,"Kruyf, Ton de"
13659,"Krygell, Johan Adam",1835.0,1915.0,naestved,københavn,"Krygell, Johan Adam"
13660,"Krylov, Pavel",1885.0,1935.0,tver,moskva,"Krylov, Pavel"
13661,"Kryukov, Vladimir Nikolayevich",1902.0,1960.0,moskva,staraya,"Kryukov, Vladimir Nikolayevich"
13665,"Kubelik, (Jeroným) Rafael",1914.0,1914.0,býchory,býchory,"Kubelik, Rafael"
13667,"Kubik, Gail (Thompson)",1914.0,1984.0,south,covina,"Kubik, Gail"
13669,"Kubin, Rudolf",1909.0,1973.0,ostrava,ostrava,"Kubin, Rudolf"
13673,"Küchler [Kücheler, Kichler, Kiechler], Johann",1738.0,1790.0,quedlinburg,mainz,"Küchler, Johann"
13674,"Kücken, Friedrich Wilhelm",1810.0,1882.0,bleckede,schwerin,"Kücken, Friedrich Wilhelm"
13676,"Kuhlau, (Daniel) Friedrich [Frederik] (Rudolph)",1786.0,1832.0,ülzen,københavn,"Kuhlau, Friedrich"
13682,"Kuhnau [Kuhn, Cuno], Johann",1660.0,1722.0,geising,leipzig,"Kuhnau, Johann"
13685,"Kühner, Basil",1840.0,1911.0,stuttgart,vilnius,"Kühner, Basil"
13686,"Kulenkampff, Gustav",1849.0,1921.0,bremen,berlin,"Kulenkampff, Gustav"
13692,"Kullak, Franz",1844.0,1913.0,berlin,berlin,"Kullak, Franz"
13693,"Kunad, Rainer",1936.0,1936.0,chemnitz,chemnitz,"Kunad, Rainer"
13701,"Kunc, Jan",1883.0,1976.0,doubravice,brno,"Kunc, Jan"
13702,"Künnecke, Eduard",1885.0,1953.0,emmerich,berlin,"Künnecke, Eduard"
13718,"Kuntze, Karl",1817.0,1883.0,trier,delitzsch,"Kuntze, Karl"
13719,"Kunz, Alfred",1929.0,1929.0,neudorf,neudorf,"Kunz, Alfred"
13720,"Kunz, Ernst",1891.0,1980.0,berne,olten,"Kunz, Ernst"
13725,"Kunz, Thomas Anton",1756.0,1830.0,praha,praha,"Kunz, Thomas Anton"
13728,"Kunzen, Friedrich Ludwig Aemilius",1761.0,1817.0,lübeck,københavn,"Kunzen, Friedrich Ludwig Aemilius"
13746,"Kunzen, Johann Paul",1696.0,1757.0,leisnig,lübeck,"Kunzen, Johann Paul"
13750,"Kupferman, Meyer",1926.0,2003.0,new,rhinebeck,"Kupferman, Meyer"
13759,"Kupka, Karel",1927.0,1927.0,rychvald,rychvald,"Kupka, Karel"
13763,"Kurka, Robert (Frank)",1921.0,1957.0,cicero,new,"Kurka, Robert"
13764,"Kurpinski, Karol (Kazimierz)",1785.0,1857.0,wloszakowice,warszawa,"Kurpinski, Karol"
13776,"Kurzbach, Paul",1902.0,1902.0,hohndorf,hohndorf,"Kurzbach, Paul"
13779,"Kürzinger, Paul Ignaz",1750.0,1820.0,mergentheim,wien,"Kürzinger, Paul Ignaz"
13784,"Kusser [Cousser], Johann Sigismund [Jean Sigismond]",1660.0,1727.0,bratislava,dublin,"Kusser, Johann Sigismund"
13799,"Kutavicius, Bronislovas",1932.0,1932.0,molainiai,molainiai,"Kutavicius, Bronislovas"
13801,"Kuusisto, Ilkka Taneli",1933.0,1933.0,helsinki,helsinki,"Kuusisto, Ilkka Taneli"
13806,"Kvam, Oddvar S(chirmer)",1927.0,1927.0,oslo,oslo,"Kvam, Oddvar S"
13808,"Kvapil, Jaroslav",1892.0,1958.0,frysták,brno,"Kvapil, Jaroslav"
13810,"Labarre [Berry], Théodore(-François-Joseph)",1805.0,1870.0,paris,paris,"Labarre, Théodore"
13813,"Labey, Marcel",1875.0,1968.0,le,nancy,"Labey, Marcel"
13814,"La Borde [Laborde], Jean-Benjamin(-François) de",1734.0,1794.0,paris,paris,"La Borde, Jean-Benjamin de"
13843,"Labroca, Mario",1896.0,1973.0,roma,roma,"Labroca, Mario"
13845,"Laccetti, Guido",1879.0,1943.0,napoli,cava,"Laccetti, Guido"
13850,"Lacépède, Bernard Germain Etienne Médard de la Ville-sur-Illon,",1756.0,1825.0,comte,epinay,"Lacépède, Bernard Germain Etienne Médard de la Ville-sur-Illon,"
13855,"Lachner, Franz Paul",1803.0,1890.0,rain,münchen,"Lachner, Franz Paul"
13859,"Lachner, Ignaz",1807.0,1895.0,rain,hannover,"Lachner, Ignaz"
13868,"Lachnith [Lachnitt], Ludwig Wenzel [Louis-Wenceslas]",1746.0,1820.0,praha,paris,"Lachnith, Ludwig Wenzel"
13872,"Lacombe [Trouillon-Lacombe], Louis (Trouillon)",1818.0,1884.0,bourges,saint,"Lacombe, Louis"
13878,"Lacome [Lacôme d'Estalenx], Paul(-Jean-Jacques)",1838.0,1920.0,le,le,"Lacome, Paul"
13882,"Lacoste, Louis de",1675.0,1755.0,,,"Lacoste, Louis de"
13890,"Laderman, Ezra",1924.0,1924.0,brooklyn,brooklyn,"Laderman, Ezra"
13899,"Ladmirault, Paul(-Émile)",1877.0,1944.0,nantes,kerbili,"Ladmirault, Paul"
13902,"Ladurner, Ignace Antoine (François Xavier) [Ignaz Anton Franz Xaver Joseph]",1766.0,1839.0,aldein,villain,"Ladurner, Ignace Antoine"
13904,"La Fage, (Juste-)Adrien(-Lenoir) de",1801.0,1862.0,paris,charenton,"La Fage, Adrien de"
13905,"La Garde [Lagarde, Garde], Pierre de",1717.0,1792.0,crécy,,"La Garde, Pierre de"
13909,"Lagidze, Revaz Il'yich",1921.0,1921.0,bagdadi,bagdadi,"Lagidze, Revaz Ilyich"
13910,"Lagoanère, Oscar de",1853.0,1918.0,bordeaux,paris,"Lagoanère, Oscar de"
13915,"La Guerre, Élisabeth Jacquet de",1659.0,1729.0,paris,paris,"La Guerre, Élisabeth Jacquet de"
13916,"La Guerre, Michel de",1605.0,1679.0,paris,paris,"La Guerre, Michel de"
13917,"La Houssaye [Housset], Pierre(-Nicolas)",1735.0,1818.0,paris,paris,"La Houssaye, Pierre"
13918,"Lajarte, Théodore (Édouard Dufaure de)",1826.0,1890.0,bordeaux,paris,"Lajarte, Théodore"
13921,"Lajtha, László",1892.0,1892.0,budapest,budapest,"Lajtha, László"
13922,"Laks, Szymon [Simon]",1901.0,1983.0,warszawa,paris,"Laks, Szymon"
13923,"Lalande [La Lande, de La Lande, Delalande], Michel-Richard de",1657.0,1726.0,paris,versailles,"Lalande, Michel-Richard de"
13927,"Laliberté, (Joseph François) Alfred",1882.0,1952.0,st,montréal,"Laliberté, Alfred"
13928,"Lalo, Édouard(-Victoire-Antoine)",1823.0,1892.0,lille,paris,"Lalo, Édouard"
13932,"Lambert, Juan Bautista",1884.0,1945.0,barcelona,barcelona,"Lambert, Juan Bautista"
13933,"Lambert, Lucien",1858.0,1945.0,paris,paris,"Lambert, Lucien"
13940,"La Montaine, John",1920.0,1920.0,oak,oak,"La Montaine, John"
13944,"Lamote de Grignon, Juan",1872.0,1949.0,barcelona,barcelona,"Lamote de Grignon, Juan"
13945,"Lamote de Grignon y Ribas, Ricardo",1899.0,1962.0,barcelona,barcelona,"Lamote de Grignon y Ribas, Ricardo"
13947,"Lampe, Johann Friedrich",1744.0,,wolfenbüttel,,"Lampe, Johann Friedrich"
13948,"Lampe, John Frederick",1703.0,1751.0,sachsen,edinburgh,"Lampe, John Frederick"
13958,"Lampugnani, Giovanni Battista",1706.0,1786.0,milano,aut,"Lampugnani, Giovanni Battista"
14004,"Lancen, Serge Jean Mathieu",1922.0,1922.0,paris,paris,"Lancen, Serge Jean Mathieu"
14005,"Lanciani, Flavio Carlo",1655.0,1724.0,roma,roma,"Lanciani, Flavio Carlo"
14009,"Landau, Siegfried",1921.0,1921.0,berlin,berlin,"Landau, Siegfried"
14010,"Landi, Stefano",1586.0,1639.0,roma,roma,"Landi, Stefano"
14012,"Landini, Benedetto",1858.0,1938.0,calenzano,firenze,"Landini, Benedetto"
14013,"Landowski, Marcel (François Paul)",1915.0,1999.0,prêt,paris,"Landowski, Marcel"
14021,"Landré, Guillaume (Louis Frédéric)",1905.0,1968.0,den,amsterdam,"Landré, Guillaume"
14024,"Landré, Willem [Guillaume] (Louis Frédéric)",1874.0,1948.0,amsterdam,eindhoven,"Landré, Willem"
14026,"Lang, David",1957.0,1957.0,los,los,"Lang, David"
14027,"Lang, Hans",1908.0,1992.0,wien,wien,"Lang, Hans"
14029,"Láng, István",1933.0,1933.0,budapest,budapest,"Láng, István"
14034,"Lang, Walter",1896.0,1966.0,basel,baden,"Lang, Walter"
14035,"Lange, Daniel de",1841.0,1918.0,rotterdam,point,"Lange, Daniel de"
14036,"Lange-Müller, Peter Erasmus",1850.0,1926.0,frederiksberg,københavn,"Lange-Müller, Peter Erasmus"
14040,"Langert, Johann August Adolf",1836.0,1920.0,coburg,coburg,"Langert, Johann August Adolf"
14047,"Langgard, Rued [Rud] (Immanuel)",1893.0,1952.0,københavn,ribe,"Langgard, Rued"
14048,"Langlé, Honoré (François Marie)",1741.0,1807.0,monaco,villiers,"Langlé, Honoré"
14057,"Lanier, Nicholas",1588.0,1666.0,london,london,"Lanier, Nicholas"
14062,"Lanza, Francesco Giuseppe",1750.0,1812.0,napoli,napoli,"Lanza, Francesco Giuseppe"
14064,"Lanza, Gesualdo",1779.0,1859.0,napoli,london,"Lanza, Gesualdo"
14066,"Laparra, Raoul",1876.0,1943.0,bordeaux,suresnes,"Laparra, Raoul"
14072,"Lapis, Santo",,,,,"Lapis, Santo"
14076,"La Prade, Ernest",1889.0,1969.0,memphis,sherman,"La Prade, Ernest"
14077,"Laquai, Reinhold",1894.0,1957.0,zürich,oberrieden,"Laquai, Reinhold"
14079,"La Rosa Parodi, Armando",1904.0,1977.0,genova,roma,"La Rosa Parodi, Armando"
14081,"La Rotella, Pasquale",1880.0,1963.0,bitonto,bari,"La Rotella, Pasquale"
14086,"L'Arronge, Adolf",1838.0,1908.0,hamburg,berlin,"LArronge, Adolf"
14091,"Larsen, Libby [Elizabeth Brown]",1950.0,1950.0,wilmington,wilmington,"Larsen, Libby"
14096,"Larsson, Lars-Erik (Vilner)",1908.0,1986.0,åkarp,hälsingborg,"Larsson, Lars-Erik"
14098,"Laruette [La Ruette], Jean-Louis",1731.0,1792.0,paris,paris,"Laruette, Jean-Louis"
14111,"Lasceux, Guillaume",1740.0,1831.0,poissy,paris,"Lasceux, Guillaume"
14113,"Laserna, Blas de",1751.0,1816.0,corella,madrid,"Laserna, Blas de"
14116,"Láska, Gustav",1847.0,1928.0,praha,schwerin,"Láska, Gustav"
14117,"Lassen, Eduard",1830.0,1904.0,københavn,weimar,"Lassen, Eduard"
14120,"Lasser, Johann Baptist",1751.0,1805.0,steinkirchen,münchen,"Lasser, Johann Baptist"
14129,"Latham, William P(eters)",1917.0,1917.0,shreveport,shreveport,"Latham, William P"
14130,"Latilla, Gaetano",1711.0,1788.0,bari,napoli,"Latilla, Gaetano"
14179,"La Tombelle, (Antoine Louis Joseph Gueyrand) Fernand (Fouant) de",1854.0,1928.0,paris,château,"La Tombelle, Fernand de"
14181,"Lattuada, Felice",1882.0,1962.0,caselle,milano,"Lattuada, Felice"
14187,"Lauber, Joseph",1864.0,1952.0,ruswil,génève,"Lauber, Joseph"
14188,"Launis [Lindberg], Armas (Emanuel)",1884.0,1959.0,hämeenlinna,nice,"Launis, Armas"
14198,"Laurens, Edmond",1852.0,1925.0,bergerac,paris,"Laurens, Edmond"
14200,"Laurenti, Pietro Paolo",1675.0,1719.0,bologna,bologna,"Laurenti, Pietro Paolo"
14206,"Laurenti, Saverio",,,,,"Laurenti, Saverio"
14207,"Laurenzi [Laurenti, Lorenzo], Filiberto [Filibertus de Laurentius]",1620.0,1685.0,bertinoro,,"Laurenzi, Filiberto"
14209,"Lavagne, André",1913.0,1913.0,paris,paris,"Lavagne, André"
14211,"Lavagnino, Angelo Francesco",1909.0,1987.0,genova,gavi,"Lavagnino, Angelo Francesco"
14212,"Lavallée, Calixa",1842.0,1891.0,ste,boston,"Lavallée, Calixa"
14215,"Lavenu, Louis Henry",1818.0,1819.0,london,sydney,"Lavenu, Louis Henry"
14216,"Lavergne [La Vergne, Delavergne], Antoine-Barthélemy (de)",1670.0,1726.0,,paris,"Lavergne, Antoine-Barthélemy"
14217,"Lavigna, Vincenzo",1776.0,1836.0,altamura,milano,"Lavigna, Vincenzo"
14223,"La Violette, Wesley",1894.0,1894.0,st,st,"La Violette, Wesley"
14225,"Lavrangas, Dionyssios",1860.0,1941.0,argostolion,razata,"Lavrangas, Dionyssios"
14241,"Lavry, Marc",1903.0,1967.0,riga,haifa,"Lavry, Marc"
14243,"Lawes, William",1602.0,1645.0,salisbury,chester,"Lawes, William"
14246,"Lazar, Filip",1894.0,1936.0,craiova,paris,"Lazar, Filip"
14247,"Lazare, Martin",1829.0,1897.0,bruxelles,bruxelles,"Lazare, Martin"
14249,"Lazarus, Daniel",1898.0,1964.0,paris,paris,"Lazarus, Daniel"
14253,"Lazarus, Gustav",1861.0,1920.0,köln,berlin,"Lazarus, Gustav"
14255,"Lazzari, Sylvio",1857.0,1944.0,bolzano,paris,"Lazzari, Sylvio"
14260,"Leardini, Alessandro",,,urbino,,"Leardini, Alessandro"
14265,"Leblanc, ?",1750.0,1827.0,,paris,"Leblanc, ?"
14287,"Leborne, Aimé(-Ambroise-Simon)",1797.0,1866.0,bruxelles,paris,"Leborne, Aimé"
14292,"Leborne, Fernand",1862.0,1929.0,charleroi,paris,"Leborne, Fernand"
14299,"Lebrun, Louis-Sébastien",1764.0,1829.0,paris,paris,"Lebrun, Louis-Sébastien"
