opera_title	 opera_description	 date	 role	 artist	 url
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Snow Queen	Galina Kuznetsova	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Bandits Leader	Nikolay Loskutkin	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Little Bandit	Svetlana Tokareva	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Reindeer	Andrey Triller	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Trolls	Evgeniy Kozyrev	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Trolls	Konstantin Buinov	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Citizens, bandits	Andrey Isakov	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Citizens, bandits	Alexey Laushkin	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Story of Kay and Gerda	opera in two actsmusic by Sergey Banevich	2015-12-12	Conductor	Evgeny Volynsky	https://novat.nsk.ru/en/afisha/performances/detail/733161/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Soldier	Victor Ditenbir	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Doll	Irina Novikova	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Piggy Bank	Olga Babkina	https://novat.nsk.ru/en/afisha/performances/detail/737883/
The Steadfast Tin Soldier	opera for children in two actsmusic by Sergey Banevich	2015-12-13	Rat	Galina Kuznetsova	https://novat.nsk.ru/en/afisha/performances/detail/737883/
